id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1509222618934616065,1509222618934616065,2022-03-30 12:34:47 CDT,2022-03-30,12:34:47,-0500,1427361863830949908,drjbhattacharya,Jay Bhattacharya,,"There was never any scientific basis for the idea that vaccinated people do not ""carry the virus."" This false idea was the fundamental premise behind the discriminatory vaccine mandate/passport scheme that has violated the civil rights of countless people worldwide.",en,[],[],[],8,86,184,[],[],https://twitter.com/DrJBhattacharya/status/1509222618934616065,False,https://twitter.com/KyleMartinsen_/status/1509206752780238851,0,,,,,,,,[],,,,
1509205943757774853,1509205943757774853,2022-03-30 11:28:31 CDT,2022-03-30,11:28:31,-0500,189868631,drtedros,Tedros Adhanom Ghebreyesus,,"If the world’s rich are enjoying the benefits of high #COVID19 vaccine coverage, why shouldn’t the world’s poor? Are some lives worth more than others? #VaccinEquity",en,[],[],[],19,58,169,"['covid19', 'vaccinequity']",[],https://twitter.com/DrTedros/status/1509205943757774853,False,,0,,,,,,,,[],,,,
1509205200120209411,1509205200120209411,2022-03-30 11:25:34 CDT,2022-03-30,11:25:34,-0500,216881337,randpaul,Rand Paul,,Why is the CDC hiding data that natural immunity from COVID is even more effective than vaccines?  https://t.co/6FzlOOzgDl,en,[],['https://brownstone.org/articles/how-the-cdc-buries-the-truth-about-natural-immunity/'],[],192,735,1936,[],[],https://twitter.com/RandPaul/status/1509205200120209411,False,,0,,,,,,,,[],,,,
1509204327080108038,1509204327080108038,2022-03-30 11:22:05 CDT,2022-03-30,11:22:05,-0500,2836421,msnbc,MSNBC,,"Biden admin. to launch  https://t.co/U8PwPrCnYO, a website where people can access information about tests, vaccines, treatments and the latest on the pandemic in communities across the country.  https://t.co/y4umKoMu3O",en,[],"['http://Covid.gov', 'https://on.msnbc.com/36JSHc5']",[],49,39,137,[],[],https://twitter.com/MSNBC/status/1509204327080108038,False,,0,,,,,,,,[],,,,
1509202891608834050,1509202891608834050,2022-03-30 11:16:23 CDT,2022-03-30,11:16:23,-0500,1384125012,cab2626,Brusa Carlo Alberto,,"Tous vaccinés, tous protégés et tous enterrés par MCKinsey ! 🥶 Nous sommes face au plus grand scandale politico-sanitaire de l’histoire ! Reveillez-vous et sortez de la caverne ! La lumière est là 💡💡💡💡💡  https://t.co/cw9JDQb6dU",fr,[],[],['https://pbs.twimg.com/media/FPHEB10XwAE3Zuq.jpg'],7,273,359,[],[],https://twitter.com/cab2626/status/1509202891608834050,False,,1,https://pbs.twimg.com/media/FPHEB10XwAE3Zuq.jpg,,,,,,,[],,,,
1509200214070018048,1509200214070018048,2022-03-30 11:05:45 CDT,2022-03-30,11:05:45,-0500,24646757,rpoconnor,Ryan O'Connor,,"Ontarians who work from home continue to be terminated for being unable to meet their employers' vaccine policies.   While public COVID restrictions have almost all been rescinded, do not forget that private mandates still exist and are still enforced.",en,[],[],[],20,67,302,[],[],https://twitter.com/rpoconnor/status/1509200214070018048,False,,0,,,,,,,,[],,,,
1509199103049228294,1509199103049228294,2022-03-30 11:01:20 CDT,2022-03-30,11:01:20,-0500,482702454,jean_yoon,Jean Yoon (윤 진 희 or 尹真姬),,"It’s official. Ontario’s SIXTH Covid wave is here, right on schedule, exactly as anticipated after Ford cancelled the protection of vaccine passes &amp; masking in schools &amp; most public spaces. Buckle up. #VoteFordOut #IsMyGovernmentTryingToKillMe",en,[],[],[],5,25,114,"['votefordout', 'ismygovernmenttryingtokillme']",[],https://twitter.com/jean_yoon/status/1509199103049228294,False,https://twitter.com/cp24/status/1508994456103567364,0,,,,,,,,[],,,,
1509195988795228161,1509195988795228161,2022-03-30 10:48:57 CDT,2022-03-30,10:48:57,-0500,245687754,pti_news,Press Trust of India,,Over 184 crore Covid vaccine doses administered in India: Govt,en,[],[],[],5,15,289,[],[],https://twitter.com/PTI_News/status/1509195988795228161,False,,0,,,,,,,,[],,,,
1509195684066611200,1509195684066611200,2022-03-30 10:47:45 CDT,2022-03-30,10:47:45,-0500,999333356113448960,keitherkeith,Keïth! ___ cat,,"We’re home now.  My gnarly carbuncle is infected and I have to take an antibiotic.  I was supposed to have vaccines, but the v.e.t. says it’s time to keep me “comfortable” and she didn’t think I needed the shots. Keith FTW - no needles! (OW is crying, but seriously - no needles!)  https://t.co/48ciQhLZn6",en,[],[],['https://pbs.twimg.com/media/FPG9b67XoAYtIhk.jpg'],41,7,225,[],[],https://twitter.com/KeitherKeith/status/1509195684066611200,False,,1,https://pbs.twimg.com/media/FPG9b67XoAYtIhk.jpg,,,,,,,[],,,,
1509190770707906572,1509190770707906572,2022-03-30 10:28:13 CDT,2022-03-30,10:28:13,-0500,51241574,ap,The Associated Press,,"The Biden administration is launching  https://t.co/ekpYGnb3eh, what it says is a one-stop website that will help people in the U.S. access COVID-19 tests, vaccines and treatments, along with status updates on local infection rates.  https://t.co/DnY8SmVnby",en,[],"['http://COVID.gov', 'http://apne.ws/5sI3yV8']",[],32,49,170,[],[],https://twitter.com/AP/status/1509190770707906572,False,,0,,,,,,,,[],,,,
